Juego,Plataforma,Año,Publicadora,Desarrolladora,Región,Edición,Serial,Ubicación,Completitud,Caja,Manual,Juego,Estado General,Estado Caja,Estado Manual,Estado Juego,Extras,Observaciones,Precio Compra,Lugar Compra,Fecha Compra,Valor de referencia,Tasación Actual,Fecha tasación,Proceso Juego,Valoración Personal
Last Battle,Mega Drive,1989,SEGA,SEGA R&D2,Europa,,,,Incompleto,FALSE,TRUE,TRUE,,N/A,,,,Precio completo 20€. Manual con marcas de uso pero bien,"0,00 €",Original (primo Kike),ene/1992,"20,00 €","20,00 €",09/04/2025,Probado,
MEGA GAMES 1,Mega Drive,1992,SEGA,SEGA,Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Columns / Super Hang-On / World Cup Italia '90,"0,00 €",Original (primo Jesús),ene/1993,"10,00 €","10,00 €",09/04/2025,Jugado,
MEGA GAMES 2,Mega Drive,1993,SEGA,SEGA,Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,The Revenge of Shinobi / Streets of Rage / Golden Axe,"10,60 €",Ebay,17/oct/2014,"15,00 €","15,00 €",09/04/2025,Jugado,
Mega Man: The Wily Wars,Mega Drive,1994,Capcom,Minakuchi Engineering,Europa,,,,,FALSE,FALSE,FALSE,,N/A,N/A,N/A,,Reproducción,"9,92 €",Ebay,,,,09/04/2025,Probado,
Micro Machines,Mega Drive,1993,Codemasters,Codemasters,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Daño en esquina de caja,"14,00 €",Ebay,29/sept/2014,"35,00 €","35,00 €",09/04/2025,Completado,
NBA Live 97,Mega Drive,1996,Electronic Arts,NuFX,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Caja y plástico de carátula rotas,"0,00 €",Original (regalo Reyes),ene/1997,"10,00 €","10,00 €",09/04/2025,Jugado,
Paprium,Mega Drive,2020,WaterMelon,WaterMelon,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Sellado excepto caja de envío,"60,00 €",WaterMelon web,28/mar/2017,"800,00 €","800,00 €",09/04/2025,Sin Jugar,
Pier Solar,Mega Drive,2010,WaterMelon,WaterMelon,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,Postales,Completo. Postales en caja de Fantasía y Last Battle,"57,00 €",WaterMelon web,01/dic/2014,"100,00 €","100,00 €",09/04/2025,Probado,
Quackshot / Castle of Illusion,Mega Drive,1996,SEGA,Disney Interactive,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Daños en caja y en carátula. Manual con uso y dobleces,"0,00 €",Original (primo Jesús),ene/1997,"45,00 €","45,00 €",09/04/2025,Jugado,
Road Rash II,Mega Drive,1992,Electronic Arts,Electronic Arts,Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Con pegatina de precio de El Corte Inglés detrás,"10,00 €",Feria Retro (Torrejón),01/abr/2017,"25,00 €","25,00 €",09/04/2025,Jugado,
Snow Bros. Nick & Tom,Mega Drive,1993,Tengen,Toaplan,Japón,,,,,FALSE,FALSE,FALSE,,N/A,N/A,N/A,,Reproducción (No salió de Japón),"15,00 €",Ebay,,,,09/04/2025,Jugado,
Sonic The Hedgehog,Mega Drive,1991,SEGA,SEGA R&D9 (Sonic Team),Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Dos copias,"0,00 €",Original (primo Kike),ene/1992,"20,00 €","20,00 €",09/04/2025,Completado,
Sonic The Hedgehog,Mega Drive,1991,SEGA,SEGA R&D9 (Sonic Team),Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,3800 yenes,"24,00 €",Surugaya (Shinjuku),nov/2024,"50,00 €","50,00 €",09/04/2025,Sin Jugar,
Sonic The Hedgehog 2,Mega Drive,1992,SEGA,SEGA R&D9 (Sonic Team),Japón,,,,,FALSE,FALSE,FALSE,,N/A,N/A,N/A,,Reproducción. Precio completo 30€,"0,00 €",Regalo,jun/1993,,,09/04/2025,Jugado,
Sonic The Hedgehog 3,Mega Drive,1994,SEGA,SEGA R&D9 (Sonic Team),Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Manual en inglés. Muy buen estado. Con pegatina de sellado en buen estado,"21,90 €",Ebay,22/feb/2015,"90,00 €","90,00 €",09/04/2025,Probado,
Street Fighter II - Special Champion Edition,Mega Drive,1993,SEGA Europe,Capcom,Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Portada pegada con pegamento,"7,50 €",Ebay,21/feb/2015,"20,00 €","20,00 €",09/04/2025,Completado,
Super Street Fighter II,Mega Drive,1994,SEGA Europe,Capcom,Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Portada con bordes blancos,"11,80 €",Ebay,19/oct/2014,"40,00 €","40,00 €",09/04/2025,Jugado,
The Lost Vikings,Mega Drive,1992,Virgin Interactive Entert.,"Silicon & Synapse, Inc.",Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Pequeños bordes blancos y plástico de portada roto en lateral,"23,00 €",Ebay,21/feb/2015,"75,00 €","75,00 €",09/04/2025,Jugado,
Tiny Toons Adventures: Buster's Hidden Treasure,Mega Drive,1993,Konami,Konami,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Etiqueta de precio rota en el lomo de la caja,"35,00 €",Japan Weekend Madrid,17/feb/2024,"35,00 €","35,00 €",09/04/2025,Probado,
Traysia,Mega Drive,2025,"Shinyuden (2025), Riot (1992)",Shinyuden,España,Reedición española Shinyuden,,,Completo,TRUE,TRUE,TRUE,,,,,"Tarjetas de arte, amuleto",Reedición del juego en español. Con tarjetas de arte y amuleto,"69,90 €",Shinyuden web,30/may/2025,"70,00 €","70,00 €",01/07/2025,Sin Jugar,
Urban Strike,Mega Drive,1994,Electronic Arts,Granite Bay Software,Europa,,,,Completo,TRUE,TRUE,TRUE,,,,,,Leves daños en caja,"0,00 €",Original (regalo Reyes),ene/1995,"30,00 €","30,00 €",09/04/2025,Jugado,
Virtua Racing,Mega Drive,1994,SEGA,SEGA-AM2,Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Carátula en muy mal estado. Contiene publi de 32x,"11,90 €",Ebay,21/feb/2015,"15,00 €","15,00 €",09/04/2025,Jugado,
Vixen 357,Mega Drive,2025,"Shinyuden (2025), Masaya (1992)",Shinyuden,España,Reedición española Shinyuden,,,Completo,TRUE,TRUE,TRUE,,,,,"Tarjetas de arte, parche de tela",Reedición del juego en español. Con tarjetas de arte y parche de tela,"69,90 €",Shinyuden web,26/jul/2025,,,,Sin Jugar,
Wonder Boy III: Monster Lair,Mega Drive,1991,SEGA,Westone,Europa,,,,Incompleto,TRUE,FALSE,TRUE,,,N/A,,,Plástico de carátula dañado. Pegatina de cartucho con desgaste. Pegatina videoclub,"0,00 €",Original (primo Jesús),ene/1996,"35,00 €","35,00 €",09/04/2025,Jugado,
Zero Wing CC,Mega Drive,2025,"Shinyuden (2025), Toaplan (1991)",Shinyuden,España,Reedición española Shinyuden,,,Completo,TRUE,TRUE,TRUE,,,,,"Tarjetas de arte, pin de logo del juego",Reedición del juego en español. Con tarjetas de arte y pin con el logo del juego,"69,50 €",Retro Game Valencia,28/nov/2025,,,,Sin Jugar,
Bishoujo Senshi Sailor Moon R,Game Boy,1994,Angel Studios,Angel Studios,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,Buen estado,"32,00 €",Book Off (Kanamecho),nov/2024,"60,00 €","60,00 €",09/04/2025,Probado,
Captain Tsubasa VS,Game Boy,1992,Tecmo,Tecmo,Japón,,,,Completo,TRUE,TRUE,TRUE,,,,,,,"5,00 €",Japón,oct/2018,"90,00 €","90,00 €",09/04/2025,Jugado,
